"plant_id"	"Treatment"	"ACC_ID"	"Rep"	"plant_num"
"216"	"P_6243_1"	"P"	"6243"	1	216
"217"	"P_6243_2"	"P"	"6243"	2	217
"218"	"P_6243_3"	"P"	"6243"	3	218
"219"	"P_6243_4"	"P"	"6243"	4	219
"220"	"P_6243_5"	"P"	"6243"	5	220
"221"	"P_6243_6"	"P"	"6243"	6	221
"222"	"P_6243_7"	"P"	"6243"	7	222
"223"	"P_6730_1"	"P"	"6730"	1	223
"224"	"P_6730_2"	"P"	"6730"	2	224
"225"	"P_6730_3"	"P"	"6730"	3	225
"226"	"P_6730_4"	"P"	"6730"	4	226
"227"	"P_6730_5"	"P"	"6730"	5	227
"228"	"P_6730_6"	"P"	"6730"	6	228
"229"	"P_6730_7"	"P"	"6730"	7	229
"230"	"P_6730_8"	"P"	"6730"	8	230
"231"	"P_6897_1"	"P"	"6897"	1	231
"232"	"P_6897_2"	"P"	"6897"	2	232
"233"	"P_6897_3"	"P"	"6897"	3	233
"234"	"P_6897_4"	"P"	"6897"	4	234
"235"	"P_6897_5"	"P"	"6897"	5	235
"236"	"P_6897_6"	"P"	"6897"	6	236
"237"	"P_6897_7"	"P"	"6897"	7	237
"238"	"P_6898_1"	"P"	"6898"	1	238
"239"	"P_6898_2"	"P"	"6898"	2	239
"240"	"P_6898_3"	"P"	"6898"	3	240
"241"	"P_6898_4"	"P"	"6898"	4	241
"242"	"P_6898_5"	"P"	"6898"	5	242
"243"	"P_6898_6"	"P"	"6898"	6	243
"244"	"P_6898_7"	"P"	"6898"	7	244
"245"	"P_6898_8"	"P"	"6898"	8	245
"246"	"P_6898_9"	"P"	"6898"	9	246
"247"	"P_6899_1"	"P"	"6899"	1	247
"248"	"P_6899_2"	"P"	"6899"	2	248
"249"	"P_6899_3"	"P"	"6899"	3	249
"250"	"P_6899_4"	"P"	"6899"	4	250
"251"	"P_6903_1"	"P"	"6903"	1	251
"252"	"P_6903_2"	"P"	"6903"	2	252
"253"	"P_6903_3"	"P"	"6903"	3	253
"254"	"P_6903_4"	"P"	"6903"	4	254
"255"	"P_6904_1"	"P"	"6904"	1	255
"256"	"P_6904_2"	"P"	"6904"	2	256
"257"	"P_6904_3"	"P"	"6904"	3	257
"258"	"P_6904_4"	"P"	"6904"	4	258
"259"	"P_6904_5"	"P"	"6904"	5	259
"260"	"P_6904_6"	"P"	"6904"	6	260
"261"	"P_6906_1"	"P"	"6906"	1	261
"262"	"P_6906_2"	"P"	"6906"	2	262
"263"	"P_6906_3"	"P"	"6906"	3	263
"264"	"P_6906_4"	"P"	"6906"	4	264
"265"	"P_6906_5"	"P"	"6906"	5	265
"266"	"P_6906_6"	"P"	"6906"	6	266
"267"	"P_6906_7"	"P"	"6906"	7	267
"268"	"P_6906_8"	"P"	"6906"	8	268
"269"	"P_6906_9"	"P"	"6906"	9	269
"270"	"P_6907_1"	"P"	"6907"	1	270
"271"	"P_6907_2"	"P"	"6907"	2	271
"272"	"P_6907_3"	"P"	"6907"	3	272
"273"	"P_6909_1"	"P"	"6909"	1	273
"274"	"P_6909_2"	"P"	"6909"	2	274
"275"	"P_6909_3"	"P"	"6909"	3	275
"276"	"P_6909_4"	"P"	"6909"	4	276
"277"	"P_6909_5"	"P"	"6909"	5	277
"278"	"P_6909_6"	"P"	"6909"	6	278
"279"	"P_6909_7"	"P"	"6909"	7	279
"280"	"P_6909_8"	"P"	"6909"	8	280
"281"	"P_6910_1"	"P"	"6910"	1	281
"282"	"P_6910_2"	"P"	"6910"	2	282
"283"	"P_6910_3"	"P"	"6910"	3	283
"284"	"P_6910_4"	"P"	"6910"	4	284
"285"	"P_6910_5"	"P"	"6910"	5	285
"286"	"P_6910_6"	"P"	"6910"	6	286
"287"	"P_6910_7"	"P"	"6910"	7	287
"288"	"P_6911_1"	"P"	"6911"	1	288
"289"	"P_6911_2"	"P"	"6911"	2	289
"290"	"P_6911_3"	"P"	"6911"	3	290
"291"	"P_6911_4"	"P"	"6911"	4	291
"292"	"P_6911_5"	"P"	"6911"	5	292
"293"	"P_6911_6"	"P"	"6911"	6	293
"294"	"P_6911_7"	"P"	"6911"	7	294
"295"	"P_6913_1"	"P"	"6913"	1	295
"296"	"P_6913_2"	"P"	"6913"	2	296
"297"	"P_6915_1"	"P"	"6915"	1	297
"298"	"P_6915_2"	"P"	"6915"	2	298
"299"	"P_6915_3"	"P"	"6915"	3	299
"300"	"P_6915_4"	"P"	"6915"	4	300
"301"	"P_6915_5"	"P"	"6915"	5	301
"302"	"P_6915_6"	"P"	"6915"	6	302
"303"	"P_6915_7"	"P"	"6915"	7	303
"304"	"P_6915_8"	"P"	"6915"	8	304
"305"	"P_6915_9"	"P"	"6915"	9	305
"306"	"P_6915_10"	"P"	"6915"	10	306
"307"	"P_6915_11"	"P"	"6915"	11	307
"308"	"P_6916_1"	"P"	"6916"	1	308
"309"	"P_6916_2"	"P"	"6916"	2	309
"310"	"P_6916_3"	"P"	"6916"	3	310
"311"	"P_6916_4"	"P"	"6916"	4	311
"312"	"P_6916_5"	"P"	"6916"	5	312
"313"	"P_6916_6"	"P"	"6916"	6	313
"314"	"P_6916_7"	"P"	"6916"	7	314
"315"	"P_6916_8"	"P"	"6916"	8	315
"316"	"P_6916_9"	"P"	"6916"	9	316
"317"	"P_6919_1"	"P"	"6919"	1	317
"318"	"P_6919_2"	"P"	"6919"	2	318
"319"	"P_6919_3"	"P"	"6919"	3	319
"320"	"P_6919_4"	"P"	"6919"	4	320
"321"	"P_6919_5"	"P"	"6919"	5	321
"322"	"P_6920_1"	"P"	"6920"	1	322
"323"	"P_6920_2"	"P"	"6920"	2	323
"324"	"P_6920_3"	"P"	"6920"	3	324
"325"	"P_6920_4"	"P"	"6920"	4	325
"326"	"P_6920_5"	"P"	"6920"	5	326
"327"	"P_6920_6"	"P"	"6920"	6	327
"328"	"P_6920_7"	"P"	"6920"	7	328
"329"	"P_6922_1"	"P"	"6922"	1	329
"330"	"P_6922_2"	"P"	"6922"	2	330
"331"	"P_6922_3"	"P"	"6922"	3	331
"332"	"P_6922_4"	"P"	"6922"	4	332
"333"	"P_6922_5"	"P"	"6922"	5	333
"334"	"P_6922_6"	"P"	"6922"	6	334
"335"	"P_6922_7"	"P"	"6922"	7	335
"336"	"P_6922_8"	"P"	"6922"	8	336
"337"	"P_6923_1"	"P"	"6923"	1	337
"338"	"P_6923_2"	"P"	"6923"	2	338
"339"	"P_6923_3"	"P"	"6923"	3	339
"340"	"P_6923_4"	"P"	"6923"	4	340
"341"	"P_6923_5"	"P"	"6923"	5	341
"342"	"P_6923_6"	"P"	"6923"	6	342
"343"	"P_6923_7"	"P"	"6923"	7	343
"344"	"P_6923_8"	"P"	"6923"	8	344
"345"	"P_6923_9"	"P"	"6923"	9	345
"346"	"P_6923_10"	"P"	"6923"	10	346
"347"	"P_6924_1"	"P"	"6924"	1	347
"348"	"P_6924_2"	"P"	"6924"	2	348
"349"	"P_6924_3"	"P"	"6924"	3	349
"350"	"P_6924_4"	"P"	"6924"	4	350
"351"	"P_6926_1"	"P"	"6926"	1	351
"352"	"P_6926_2"	"P"	"6926"	2	352
"353"	"P_6926_3"	"P"	"6926"	3	353
"354"	"P_6926_4"	"P"	"6926"	4	354
"355"	"P_6926_5"	"P"	"6926"	5	355
"356"	"P_6926_6"	"P"	"6926"	6	356
"357"	"P_6926_7"	"P"	"6926"	7	357
"358"	"P_6926_8"	"P"	"6926"	8	358
"359"	"P_6926_9"	"P"	"6926"	9	359
"360"	"P_6928_1"	"P"	"6928"	1	360
"361"	"P_6928_2"	"P"	"6928"	2	361
"362"	"P_6928_3"	"P"	"6928"	3	362
"363"	"P_6928_4"	"P"	"6928"	4	363
"364"	"P_6928_5"	"P"	"6928"	5	364
"365"	"P_6928_6"	"P"	"6928"	6	365
"366"	"P_6928_7"	"P"	"6928"	7	366
"367"	"P_6929_1"	"P"	"6929"	1	367
"368"	"P_6929_2"	"P"	"6929"	2	368
"369"	"P_6929_3"	"P"	"6929"	3	369
"370"	"P_6929_4"	"P"	"6929"	4	370
"371"	"P_6929_5"	"P"	"6929"	5	371
"372"	"P_6929_6"	"P"	"6929"	6	372
"373"	"P_6930_1"	"P"	"6930"	1	373
"374"	"P_6930_2"	"P"	"6930"	2	374
"375"	"P_6930_3"	"P"	"6930"	3	375
"376"	"P_6930_4"	"P"	"6930"	4	376
"377"	"P_6930_5"	"P"	"6930"	5	377
"378"	"P_6930_6"	"P"	"6930"	6	378
"379"	"P_6930_7"	"P"	"6930"	7	379
"380"	"P_6930_8"	"P"	"6930"	8	380
