"plant_id"	"Treatment"	"ACC_ID"	"Rep"
"439"	"P_6940_7"	"P"	"6940"	"7"
"440"	"P_6942_1"	"P"	"6942"	"1"
"441"	"P_6942_2"	"P"	"6942"	"2"
"442"	"P_6942_3"	"P"	"6942"	"3"
"443"	"P_6942_4"	"P"	"6942"	"4"
"444"	"P_6942_5"	"P"	"6942"	"5"
"445"	"P_6943_1"	"P"	"6943"	"1"
"446"	"P_6943_2"	"P"	"6943"	"2"
"447"	"P_6943_3"	"P"	"6943"	"3"
"448"	"P_6943_4"	"P"	"6943"	"4"
"449"	"P_6943_5"	"P"	"6943"	"5"
"450"	"P_6943_6"	"P"	"6943"	"6"
"451"	"P_6943_7"	"P"	"6943"	"7"
"452"	"P_6943_8"	"P"	"6943"	"8"
"453"	"P_6944_1"	"P"	"6944"	"1"
"454"	"P_6944_2"	"P"	"6944"	"2"
"455"	"P_6944_3"	"P"	"6944"	"3"
"456"	"P_6944_4"	"P"	"6944"	"4"
"457"	"P_6944_5"	"P"	"6944"	"5"
"458"	"P_6944_6"	"P"	"6944"	"6"
"459"	"P_6944_7"	"P"	"6944"	"7"
"460"	"P_6944_8"	"P"	"6944"	"8"
"461"	"P_6944_9"	"P"	"6944"	"9"
"462"	"P_6945_1"	"P"	"6945"	"1"
"463"	"P_6945_2"	"P"	"6945"	"2"
"464"	"P_6945_3"	"P"	"6945"	"3"
"465"	"P_6945_4"	"P"	"6945"	"4"
"466"	"P_6945_5"	"P"	"6945"	"5"
"467"	"P_6946_1"	"P"	"6946"	"1"
"468"	"P_6946_2"	"P"	"6946"	"2"
"469"	"P_6946_3"	"P"	"6946"	"3"
"470"	"P_6946_4"	"P"	"6946"	"4"
"471"	"P_6946_5"	"P"	"6946"	"5"
"472"	"P_6946_6"	"P"	"6946"	"6"
"473"	"P_6946_7"	"P"	"6946"	"7"
"474"	"P_6946_8"	"P"	"6946"	"8"
"475"	"P_6946_9"	"P"	"6946"	"9"
"476"	"P_6946_10"	"P"	"6946"	"10"
"477"	"P_6946_11"	"P"	"6946"	"11"
"478"	"P_6951_1"	"P"	"6951"	"1"
"479"	"P_6951_2"	"P"	"6951"	"2"
"480"	"P_6951_3"	"P"	"6951"	"3"
"481"	"P_6951_4"	"P"	"6951"	"4"
"482"	"P_6951_5"	"P"	"6951"	"5"
"483"	"P_6951_6"	"P"	"6951"	"6"
"484"	"P_6951_7"	"P"	"6951"	"7"
"485"	"P_6951_8"	"P"	"6951"	"8"
"486"	"P_6951_9"	"P"	"6951"	"9"
"487"	"P_6956_1"	"P"	"6956"	"1"
"488"	"P_6956_2"	"P"	"6956"	"2"
"489"	"P_6956_3"	"P"	"6956"	"3"
"490"	"P_6956_4"	"P"	"6956"	"4"
"491"	"P_6956_5"	"P"	"6956"	"5"
"492"	"P_6958_1"	"P"	"6958"	"1"
"493"	"P_6958_2"	"P"	"6958"	"2"
"494"	"P_6958_3"	"P"	"6958"	"3"
"495"	"P_6958_4"	"P"	"6958"	"4"
"496"	"P_6958_5"	"P"	"6958"	"5"
"497"	"P_6958_6"	"P"	"6958"	"6"
"498"	"P_6958_7"	"P"	"6958"	"7"
"499"	"P_6959_1"	"P"	"6959"	"1"
"500"	"P_6959_2"	"P"	"6959"	"2"
"501"	"P_6959_3"	"P"	"6959"	"3"
"502"	"P_6959_4"	"P"	"6959"	"4"
"503"	"P_6959_5"	"P"	"6959"	"5"
"504"	"P_6959_6"	"P"	"6959"	"6"
"505"	"P_6960_1"	"P"	"6960"	"1"
"506"	"P_6960_2"	"P"	"6960"	"2"
"507"	"P_6960_3"	"P"	"6960"	"3"
"508"	"P_6960_4"	"P"	"6960"	"4"
"509"	"P_6960_5"	"P"	"6960"	"5"
"510"	"P_6960_6"	"P"	"6960"	"6"
"511"	"P_6960_7"	"P"	"6960"	"7"
"512"	"P_6960_8"	"P"	"6960"	"8"
"513"	"P_6960_9"	"P"	"6960"	"9"
"514"	"P_6960_10"	"P"	"6960"	"10"
"515"	"P_6960_11"	"P"	"6960"	"11"
"516"	"P_6961_1"	"P"	"6961"	"1"
"517"	"P_6961_2"	"P"	"6961"	"2"
"518"	"P_6961_3"	"P"	"6961"	"3"
"519"	"P_6961_4"	"P"	"6961"	"4"
"520"	"P_6961_5"	"P"	"6961"	"5"
"521"	"P_6961_6"	"P"	"6961"	"6"
"522"	"P_6961_7"	"P"	"6961"	"7"
"523"	"P_6961_8"	"P"	"6961"	"8"
"524"	"P_6961_9"	"P"	"6961"	"9"
"525"	"P_6961_10"	"P"	"6961"	"10"
"526"	"P_6961_11"	"P"	"6961"	"11"
"527"	"P_6962_1"	"P"	"6962"	"1"
"528"	"P_6962_2"	"P"	"6962"	"2"
"529"	"P_6962_3"	"P"	"6962"	"3"
"530"	"P_6962_4"	"P"	"6962"	"4"
"531"	"P_6962_5"	"P"	"6962"	"5"
"532"	"P_6962_6"	"P"	"6962"	"6"
"533"	"P_6962_7"	"P"	"6962"	"7"
"534"	"P_6962_8"	"P"	"6962"	"8"
"535"	"P_6963_1"	"P"	"6963"	"1"
"536"	"P_6963_2"	"P"	"6963"	"2"
"537"	"P_6963_3"	"P"	"6963"	"3"
"538"	"P_6963_4"	"P"	"6963"	"4"
"539"	"P_6963_5"	"P"	"6963"	"5"
"540"	"P_6963_6"	"P"	"6963"	"6"
"541"	"P_6963_7"	"P"	"6963"	"7"
